player,url,recruiting_rank,height,weight,composite_rating,high_school,city,state,draft_projection,reminds_of,evaluated_date,analyst,athletic_background,committed_school,numerical_rating,Is_FBS,Is_SEC,Is_Big_Ten,Is_Big_XII,Is_ACC,pos_DUAL,pos_PRO,pos_QB,star_2,star_3,star_4,star_5,Is_Top_Five_Ranked,Is_From_East,Is_From_West,weight_to_height_ratio,bmi,Accuracy_sentiment_score,Arm_Strength_sentiment_score,Mobility_and_Athleticism_sentiment_score,NFL_Draft_Projection_sentiment_score,Pocket_Presence_sentiment_score,Size_and_Physical_sentiment_score,games_played_player_after_enrollment,completions_player_after_enrollment,attempts_player_after_enrollment,completion_pct_player_after_enrollment,yards_player_after_enrollment,touchdowns_player_after_enrollment,touchdown_pct_player_after_enrollment,interceptions_player_after_enrollment,interception_pct_player_after_enrollment,yards_per_attempt_player_after_enrollment,adjusted_yards_per_attempt_player_after_enrollment,yards_per_completion_player_after_enrollment,yards_per_game_player_after_enrollment,passing_rating_player_after_enrollment,seasons_played_player_after_enrollment,recruiting_class,year_before_enrollment,games_played_team_before_enrollment,ppg_team_before_enrollment,passing_completions_team_before_enrollment,passing_attempts_team_before_enrollment,passing_pct_team_before_enrollment,passing_yards_team_before_enrollment,passing_touchdowns_team_before_enrollment,rushing_attempts_team_before_enrollment,rushing_yards_team_before_enrollment,rushing_average_team_before_enrollment,rushing_touchdowns_team_before_enrollment,offensive_plays_team_before_enrollment,offensive_yards_team_before_enrollment,offensive_average_team_before_enrollment,first_down_passes_team_before_enrollment,first_down_rushes_team_before_enrollment,first_down_penalties_team_before_enrollment,first_downs_team_before_enrollment,penalty_counts_team_before_enrollment,penalty_yards_team_before_enrollment,fumbles_team_before_enrollment,interceptions_team_before_enrollment,total_turnovers_team_before_enrollment,overall_wins_team_before_enrollment,overall_losses_team_before_enrollment,overall_win_pct_team_before_enrollment,conference_wins_team_before_enrollment,conference_losses_team_before_enrollment,conference_win_pct_team_before_enrollment,ppg_offense_team_before_enrollment,ppg_defense_team_before_enrollment,srs_team_before_enrollment,sos_team_before_enrollment,ap_pre_team_before_enrollment,ap_high_team_before_enrollment,ap_rank_team_before_enrollment,final_ranking_team_AP_top_10_before_enrollment,highest_ranking_team_AP_top_10_before_enrollment,TD/INT_Ratio_player_after_enrollment
Arch Manning,https://247sports.com/player/arch-manning-46080533/,1,76.0,215,100,"Isidore Newman (New Orleans, LA)",New Orleans,LA,Round 1 - Top 10,Joe Burrow (Cincinnati Bengals),06/06/2022,Cooper Petagna,"H.S. Athletic BackgroundAlso plays basketball.2021: As a junior, led New Orleans Isidore Newman to a 7-3 record and a Louisiana Division III state semifinal appearance.2020: Led New Orleans Isidore Newman to a 9-1 record and Louisiana Division III state semifinal berth as a sophomore.2019: As a freshman, led New Orleans Isidore Newman to a 9-2 record and second-round playoff appearance in Louisiana's Division III bracket.",Texas,9999.5,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,2.8289473684210527,26.167763157894736,0.2056,0.3787,-0.016,0.1278,0.4382,0.3,8.333333333333334,8.733333333333334,14.200000000000001,56.4,117.40000000000002,0.9666666666666667,5.466666666666666,0.24666666666666667,1.3,8.066666666666666,8.59,14.4,117.40000000000002,139.76666666666668,3,2023,2022,13,34.5,19.1,31.2,61.2,241.4,1.7,36.2,188.2,5.2,2.2,67.3,429.5,6.4,11.3,9.5,2.1,22.9,6.1,47.3,0.4,0.5,0.9,8,5,0.615,6.0,3.0,0.667,34.5,21.6,15.92,8.16,,18.0,25.0,0,0,3.918918918918919
Athan Kaliakmanis,https://247sports.com/player/athan-kaliakmanis-46051267/,26,76.0,205,90,"Antioch (Antioch, IL)",Antioch,IL,4-7 Round - Day 3,Kellen Mond (Cleveland Browns),09/07/2018,Allen Trieu,"H.S. Athletic BackgroundAthan Kaliakmanis is a Quarterback from Antioch, IL.",Minnesota,8999.5,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2.6973684210526314,24.95065789473684,0.3271,0.1604,0.2125,0.0,0.1,0.0,11.5,9.225,17.3,53.6,119.6,0.72,3.75,0.5549999999999999,3.35,7.4,6.635,13.8,119.6,121.30000000000001,2,2021,2020,7,27.3,15.3,26.3,58.2,199.1,1.0,42.6,191.9,4.5,2.7,68.9,391.0,5.7,9.4,10.1,2.0,21.6,4.6,41.9,0.3,0.7,1.0,3,4,0.429,3.0,4.0,0.429,27.3,30.1,-1.32,2.1,19.0,19.0,,0,0,1.2972972972972974
Avery Johnson,https://247sports.com/player/avery-johnson-46111693/,9,74.0,175,95,"Maize (Maize, KS)",Maize,KS,4-7 Round - Day 3,,07/05/2022,Chris Singletary,"H.S. Athletic BackgroundMember of 247Sports' 2023 Freaks List.Two-sport athlete who shows some bounce on the basketball floor.Averaged 11.6 points, 2.7 rebounds, 3.7 assists, 2.2 steals, and 1.0 blocks per game as a junior for a Maize team that went 18-6 and reached the state semifinals in Kansas 5A.Leading scorer as a sophomore for a Maize squad that went 23-2 and won the Kansas 5A state championship. Averaged 13.2 points, 4.4 rebounds, 3.2 assists, and 1.8 steals on 49 percent shooting and 36 percent from three-point range.2021: As a junior, led Maize to an 11-3 record and the Kansas 5A state championship game, where Maize fell 28-14 to Mill Valley.2020: Led Maize to a 9-2 record as a sophomore starting QB.- Gabe Brooks",Kansas State,9499.5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2.364864864864865,22.466216216216218,-0.0125,0.0782,0.4407,0.3017,0.6517,0.2333,11.0,12.776666666666666,21.75,58.06666666666666,155.76666666666668,1.3499999999999999,6.533333333333334,0.42333333333333334,1.5,7.2,7.816666666666666,12.366666666666667,155.76666666666668,136.96666666666667,3,2023,2022,14,32.3,17.3,27.8,62.2,210.5,1.5,40.6,208.3,5.1,2.3,68.4,418.8,6.1,9.4,9.5,1.1,20.1,5.3,42.9,0.4,0.4,0.9,10,4,0.714,7.0,2.0,0.778,32.3,21.9,16.16,7.95,,11.0,14.0,0,0,3.1889763779527556
Behren Morton,https://247sports.com/player/behren-morton-46058681/,11,74.0,185,94,"Eastland (Eastland, TX)",Eastland,TX,4-7 Round - Day 3,,12/03/2020,Gabe Brooks,H.S. Athletic Background2020: Led Eastland to a 10-4 record and a Texas 3A D-II state quarterfinal appearance as a senior.2019: Texas District 3-3A-I Offensive MVP as a junior.2018: Texas District 3-3A-I Offensive MVP as a sophomore.,Texas Tech,9399.5,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2.5,23.75,0.1399,0.15,0.17,0.0532,0.3667,0.1667,9.0,14.459999999999999,23.22,56.3,161.87999999999997,1.272,4.319999999999999,0.528,1.9600000000000002,5.64,5.612,9.059999999999999,161.87999999999997,113.96,5,2021,2020,10,29.1,25.9,39.8,65.1,266.7,1.8,33.6,163.4,4.9,1.7,73.4,430.1,5.9,11.8,8.2,1.4,21.4,6.7,57.7,0.8,1.1,1.9,4,6,0.4,3.0,6.0,0.333,29.1,36.7,-1.67,3.53,,,,0,0,2.409090909090909
Brian Maurer,https://247sports.com/player/brian-maurer-46039585/,24,75.0,199,88,"West Port (Ocala, FL)",Ocala,FL,Power 4 Starter,Alex Smith (Washington Commanders),10/19/2018,Greg Biggins,"H.S. Athletic Background- Set the Marion County single-season passing record in 2018 with 3,543 yards and 34 touchdowns- Finished his high school career with a county-record 7,664 yards and 64 touchdowns",Tennessee,8799.5,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2.6533333333333333,24.87057777777778,0.1361,0.1361,0.2,0.0822,0.3,0.1604,6.0,2.44,5.44,40.0,34.925,0.125,1.35,0.315,3.35,4.35,3.125,10.0,34.949999999999996,74.3,2,2019,2018,13,39.3,18.7,28.9,64.6,257.1,2.5,44.3,218.2,4.9,2.3,73.2,475.3,6.5,9.6,12.5,2.2,24.3,6.8,60.6,0.8,0.2,1.0,5,7,0.417,2.0,6.0,0.25,22.8,27.9,0.39,6.05,,,,0,0,0.3968253968253968
Brock Glenn,https://247sports.com/player/brock-glenn-46114831/,21,74.0,195,90,"Lausanne Collegiate School (Covington, TN)",Covington,TN,4-7 Round - Day 3,,07/28/2022,Cooper Petagna,"H.S. Athletic BackgroundMade Elite 11 Finals in summer of 2022…accounted for more than 4,500 yards of total offense and 68 touchdowns during prep career…passed for 3,928 yards and 57 touchdowns with only 13 interceptions and added 654 rushing yards with 11 touchdowns…led Lausanne to eight wins and advanced to quarterfinal round of Tennessee High School Division II Class AA playoffs his senior season…was 74-of-126 passing for 1,413 yards and 18 touchdowns and added 443 rushing yards and seven touchdowns while averaging 9.8 yards per carry…led Lynx to semifinal round of state playoffs and nine wins in 2021…completed 97 of 155 passes for 1,576 yards and 23 touchdowns…also rushed for 161 yards and three touchdowns on 31 carries…played six games his sophomore year, passing for 912 yards and 15 touchdowns and rushing for 28 yards on 12 carries…was 1-of-1 passing for 27 yards and rushed for 22 yards in one appearance as a freshman.",Florida State,8999.5,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2.635135135135135,25.033783783783782,0.181,0.0306,0.2889,0.1875,0.3384,0.1667,5.333333333333333,4.196666666666666,9.666666666666666,47.333333333333336,49.46666666666667,0.35666666666666663,7.833333333333333,0.36999999999999994,2.766666666666667,5.533333333333334,5.863333333333333,11.766666666666666,49.46666666666667,114.2,3,2023,2022,13,36.1,19.2,30.4,63.0,270.2,2.2,39.2,214.1,5.5,2.5,69.5,484.2,7.0,11.0,11.2,2.0,24.2,6.7,59.1,0.5,0.5,1.1,10,3,0.769,5.0,3.0,0.625,36.1,20.6,14.77,3.38,,11.0,11.0,0,0,0.963963963963964
Bryce Young,https://247sports.com/player/bryce-young-93127/,1,71.0,183,101,"Mater Dei (Santa Ana, CA)",Santa Ana,CA,Round 1 - Top 10,Russell Wilson (Pittsburgh Steelers),11/09/2018,Greg Biggins,"H.S. Athletic BackgroundBryce Young is a 5-11, 183-pound Dual-Threat Quarterback from Los Angeles, CA.2019: All-American Bowl Player of the Year, Gatorade Player of the Year in California, High School Quarterback of the Year by the National Quarterback Club, Maxwell Offensive Player of the Year, MaxPreps Player of the Year (shared with fellow five-star quarterback DJ Uiagalelei), among many other awards.",Alabama,10099.5,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,2.5774647887323945,25.52053164054751,0.2083,0.25,0.5,,0.2522,-0.1667,11.666666666666666,15.476666666666665,23.650000000000002,63.5,207.20000000000002,1.9766666666666666,7.166666666666667,0.29666666666666663,0.8666666666666667,8.266666666666667,9.299999999999999,12.966666666666667,207.20000000000002,154.79999999999998,3,2020,2019,13,47.2,22.1,31.2,70.7,342.2,3.8,33.5,168.7,5.0,2.1,64.7,510.9,7.9,13.0,9.7,1.8,24.5,7.3,65.8,0.3,0.5,0.8,11,2,0.846,6.0,2.0,0.75,47.2,18.6,21.11,2.81,2.0,1.0,8.0,1,1,6.662921348314607
C.J. Stroud,https://247sports.com/player/cj-stroud-46038118/,3,74.5,194,98,"Rancho Cucamonga (Rancho Cucamonga, CA)",Rancho Cucamonga,CA,First Round,Teddy Bridgewater (Detroit Lions),09/07/2018,Greg Biggins,H.S. Athletic BackgroundVarsity basketball,Ohio State,9799.5,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,2.604026845637584,24.57222647628485,0.1536,0.2333,0.3869,-0.0667,0.1536,0.35,12.5,23.1,33.349999999999994,69.1,326.65,3.41,10.25,0.48,1.45,9.8,11.165,14.15,326.65,182.14999999999998,2,2020,2019,14,46.9,19.4,28.9,66.9,263.1,3.4,47.1,267.3,5.7,2.8,76.1,530.4,7.0,12.3,13.7,2.4,28.4,5.8,55.0,0.9,0.2,1.1,13,1,0.929,9.0,0.0,1.0,46.9,13.7,27.39,7.32,5.0,2.0,3.0,1,1,7.104166666666667
Cade Klubnik,https://247sports.com/player/cade-klubnik-46056879/,2,74.5,186,98,"Austin Westlake (Austin, TX)",Austin,TX,First Round,Zach Wilson (New York Jets),12/11/2021,Gabe Brooks,"H.S. Athletic BackgroundAlso has competed in track and field.Ran 51.52 in the 400 as a sophomore, while long jumping 19-10 and triple jumping 41-8.2020: Led Austin Westlake -- ranked No. 3 in the country by MaxPreps -- to a 14-0 record and the Texas 6A D-I state title as a junior; Texas District 26-6A Offensive MVP; MaxPreps first-team Junior All-American; Was named the TSWA Class 6A Offensive Player of the Year2019: Served as a reserve on Austin Westlake's 15-1 Texas 6A D-II state championship team as a sophomore.",Clemson,9799.5,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,2.4966442953020134,23.558938786541148,0.225,0.35,0.2692,0.0,0.35,0.25,12.25,17.95,28.075000000000003,63.474999999999994,198.425,1.3900000000000001,4.425,0.48,1.925,7.075,7.07,11.125,198.425,133.39999999999998,4,2022,2021,13,26.3,17.5,31.8,55.2,191.2,0.9,37.2,169.6,4.6,2.0,69.0,360.8,5.2,9.0,8.8,2.0,19.8,6.1,50.5,0.6,0.8,1.5,10,3,0.769,6.0,2.0,0.75,26.3,14.8,11.43,2.66,3.0,3.0,14.0,0,1,2.8958333333333335
Cade McNamara,https://247sports.com/player/cade-mcnamara-93369/,15,73.0,206,90,"Damonte Ranch (Reno, NV)",Reno,NV,4-7 Round - Day 3,Chase Daniel (Chicago Bears),09/07/2018,Allen Trieu,"H.S. Athletic BackgroundCade McNamara is a Pro-Style Quarterback from Reno, NV.",Michigan,8999.5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2.8219178082191783,27.175455057234,0.2129,0.4462,-0.1557,0.0,0.35,0.2875,7.0,10.156666666666666,16.51,60.26666666666667,116.76666666666667,0.8833333333333333,5.2,0.25333333333333335,1.9333333333333333,7.033333333333334,7.1866666666666665,11.700000000000001,116.76666666666667,132.56666666666666,3,2019,2018,14,35.8,17.7,28.2,62.8,228.7,1.5,41.1,214.4,5.2,2.8,69.3,443.1,6.4,8.6,11.7,1.5,21.9,4.9,41.5,0.4,0.6,1.0,10,3,0.769,8.0,1.0,0.889,35.2,19.4,16.47,5.47,14.0,4.0,14.0,0,1,3.4868421052631575
